Year,Intervention,InterventionNum,Month,Season,SeasonNum,AvgTDHK,AvgTCTG,AvgTSYL,AvgTMym,AvgTRaj,AvgTRang,AvgTBar,AvgTKhul,AvgT,Rainfall,RabiesCase,ARV,MDV,RabiesCasePlus1
2009,Before,1,12,Winter,3,18.52225806,19.12677419,17.80709677,18.33354839,17.16935484,17.4683871,19.12225806,18.16741935,18.2146371,5.57,23,,,24
2010,Before,1,1,Winter,3,17.70935484,18.36354839,17.67645161,17.85258065,15.76967742,16.38193548,17.85258065,17.15645161,17.34532258,0.03,9,,,10
2010,Before,1,2,Winter,3,21.39107143,21.5475,19.59392857,21.15,20.60642857,20.38428571,22.27892857,21.98178571,21.11674107,19.39,12,,,13
2010,Before,1,3,Pre-monsoon,1,28.1216129,27.26032258,25.64322581,27.77516129,28.23548387,27.67677419,28.37903226,29.21096774,27.78782258,40.1,5,,,6
2010,Before,1,4,Pre-monsoon,1,31.16833333,29.168,27.094,30.753,33.24466667,31.65333333,30.25133333,33.01133333,30.793,107.35,9,,,10
2010,Before,1,5,Pre-monsoon,1,29.57548387,29.15322581,27.31225806,29.10387097,31.5016129,30.63870968,29.75193548,29.79193548,29.60362903,312.66,3,,,4
2010,Before,1,6,Monsoon,2,28.64066667,28.08933333,27.73233333,28.585,30.47133333,29.41566667,28.62366667,29.048,28.82575,387.53,5,,,6
2010,Before,1,7,Monsoon,2,28.58774194,28.00290323,27.94322581,28.63516129,29.1883871,28.96258065,28.24419355,28.43290323,28.4996371,168.21,6,,,7
2010,Before,1,8,Monsoon,2,28.40774194,27.84967742,27.79741935,28.5583871,28.92548387,28.93064516,28.06806452,28.12290323,28.33254032,274.2,10,,,11
2010,Before,1,9,Monsoon,2,27.632,27.754,27.012,27.605,27.884,27.83566667,27.85466667,27.48833333,27.63320833,191.13,9,,,10
2010,Before,1,10,Monsoon,2,26.39580645,27.37258065,25.98967742,26.08258065,26.15774194,25.54354839,27.22483871,26.57483871,26.41770161,207.7,10,,,11
2010,Before,1,11,Winter,3,23.63266667,24.771,22.72066667,23.111,23.694,22.43866667,24.72566667,24.032,23.64070833,7.9,15,,,16
2010,Before,1,12,Winter,3,18.61225806,19.72096774,18.52548387,18.30774194,17.75645161,17.26870968,19.19354839,18.11419355,18.43741935,62.82,11,,,12
2011,Before,1,1,Winter,3,16.78903226,17.54935484,16.09741935,16.46225806,15.89290323,15.46258065,17.62322581,16.81096774,16.58596774,0.28,11,1620,0,12
2011,Before,1,2,Winter,3,21.78928571,21.54035714,19.63071429,21.35392857,21.355,20.52321429,22.04678571,22.31714286,21.31955357,1.08,12,1780,0,13
2011,Before,1,3,Pre-monsoon,1,26.92,25.67774194,23.73451613,26.49774194,27.51290323,25.84290323,26.66903226,28.04806452,26.3628629,41.64,7,2250,0,8
2011,Before,1,4,Pre-monsoon,1,29.23066667,27.92666667,26.91,29.05866667,29.73266667,29.422,28.644,29.95733333,28.86025,91.24,9,2350,0,10
2011,Before,1,5,Pre-monsoon,1,29.46,28.37516129,27.79193548,29.45806452,30.89903226,30.08483871,29.00903226,30.17258065,29.40633065,295.58,2,2380,0,3
2011,Before,1,6,Monsoon,2,28.579,28.12733333,28.036,28.66966667,30.30233333,29.996,28.54233333,29.20333333,28.932,269.24,7,2300,0,8
2011,Before,1,7,Monsoon,2,28.38387097,27.74419355,27.78193548,28.40064516,28.82935484,28.95193548,28.11258065,28.30258065,28.3133871,237.6,9,2680,0,10
2011,Before,1,8,Monsoon,2,27.79903226,27.38419355,27.57419355,27.82806452,28.15677419,28.50935484,27.61741935,27.65290323,27.81524194,464.83,8,2705,0,9
2011,Before,1,9,Monsoon,2,27.671,27.63566667,27.365,27.66133333,27.742,27.894,27.72266667,27.42566667,27.63966667,178.38,9,2850,0,10
2011,Before,1,10,Monsoon,2,26.67225806,27.06354839,26.08193548,26.40612903,26.33612903,26.10935484,27.12741935,26.60774194,26.55056452,41.27,10,2890,0,11
